url,search_term,one_sentence_summary,relevance,sha256
https://news.ycombinator.com/item?id=46739117,"""Five Levels"" ""spicy autocomplete"" ""dark factory"" Hacker News",Canonical Hacker News thread on Dan Shapiro's Five Levels framework that named the dark factory.,3,65d755e51abe744d0b6591524f1028e4ebbf96a340b269c08732775fcddd9fc7
https://news.ycombinator.com/item?id=46924711,Hacker News StrongDM no human writes code,Hacker News thread on Simon Willison's StrongDM Software Factory write-up with code-quality critiques.,3,48394ee1e22718f184f4129b6bf60dbfe365b98a1fc512f940220a34a1e4a67e
https://news.ycombinator.com/item?id=46924426,Software factories agentic moment Hacker News StrongDM,Hacker News thread on the StrongDM blog post itself focused on technical mechanics of scenarios and twins.,3,8282baf1e46ef0950bfd7d566ed28bb88884d2667b948c2a4ce9f9efefb0284e
https://simonwillison.net/2026/Feb/7/software-factory/,Simon Willison dark factory software AI agents February 2026,Simon Willison's canonical Feb 7 2026 post introducing StrongDM's Software Factory and the Level 5 dark factory.,3,054024b767567ba80e4192f5af4a3ae225019be7c95e72d35ce79333783c9127
https://www.lennysnewsletter.com/p/an-ai-state-of-the-union,Lenny's Newsletter AI state of union dark factories Simon Willison,Lenny Rachitsky podcast/newsletter with Simon Willison framing November 2025 as the inflection point.,3,f8007cc630456d6ff88b7888af1564c0bc017402b86f776704007751d06624e7
https://www.thepragmaticcto.com/p/the-software-factory-when-no-human,Pragmatic CTO software factory dark factory no human writes,Pragmatic CTO newsletter framing dark factory as a CFO/risk decision with cost and CVE-rate caveats.,3,400f0c3c0abd3a3614904f2262371d836566b5b4f1ecb8ef1b0dbe97dc69a481
https://andrewbaker.ninja/2026/03/22/ai-coding-gap-dark-factories-and-why-your-ai-strategy-is-failing/,"""Dark Factories: AI Is Splitting Software Teams Apart"" Andrew Baker",Andrew Baker's productivity-bifurcation essay on dark factories vs. measurably-slower laggards.,3,3406829ab876e509aaba7fe6eae3244c5ad1c022a80573e289f3b1d9b865cd73
https://www.bcgplatinion.com/insights/the-dark-software-factory,BCG Platinion dark factory autonomous software delivery 2026,BCG Platinion strategic report on the Dark Software Factory citing Spotify and StrongDM case studies.,3,3a16af6be167274eddc1e510c219b35f2bfa9776de5139ed8c0f281333e7807c
https://law.stanford.edu/2026/02/08/built-by-agents-tested-by-agents-trusted-by-whom/,Stanford Law built by agents tested by agents trusted by whom,Stanford CodeX legal/policy critique of the dark factory's gap with SOC 2/FedRAMP/EU CRA review assumptions.,3,c6067528590ec9979e14727ff6bfa84cf245f85ca891d04c879adbb3f9a55bf0
https://www.citrix.com/blogs/2026/02/19/what-will-knowledge-work-be-in-18-months-look-at-what-ai-is-doing-to-coding-right-now/,Citrix Blogs knowledge work AI dark factory coding 18 months,Citrix Blogs piece extrapolating the dark factory framework from software to all knowledge work.,2,80f2b80364a8588b1bef2cb1d3b49a135cecc199fe549677d2ff2685f9e38e03
https://signals.aktagon.com/articles/2026/03/the-dark-factory-why-most-developers-are-getting-slower-while-ai-writes-90-of-code/,Signals dark factory developers slower 90 percent AI code,Signals piece pairing the StrongDM dark factory with the 19 percent RCT slowdown for mainstream AI users.,3,77432d21a2781312ed283732656b4fe54fd9a049ad6259737a019d5beb0bb20e
https://natesnewsletter.substack.com/p/the-5-level-framework-that-explains,Nate's Newsletter dark factory five level org chart bottleneck,Nate's Newsletter argument that org charts are the dark factory bottleneck plus a Level 2 to 5 prompt path.,2,fb9db13a5148c15cd3b71e1da69e10ff3fa98ef708f69e30694215236685edb9
https://abaditya.com/2026/03/05/the-dark-factory-engineering-teams-that-run-with-the-lights-off/,abaditya.com dark factory engineering teams lights off,AB's Reflections piece grounding the dark factory in Cursor's 35 percent agent-PR rate and team-flattening claims.,2,30dda3fe8e739e0432af34ec73027789e60aa9567912b76447cf538a58ff6c7d
https://x.com/simonw/status/2020161285376082326,Simon Willison X tweet StrongDM software factory commentary,Simon Willison's Feb 7 2026 X thread that distributed the StrongDM dark factory write-up across engineering Twitter.,3,b1c545c8fd716598bfde181b37a67bcfba4f30cf04c02bc9a375f3857cedfab4
https://fedi.simonwillison.net/@simon/116030108431644256,Simon Willison Mastodon fediverse software factory dark,Simon Willison's Mastodon thread mirroring the X post with a more security-skeptical fediverse reply mix.,2,ddb0f8391873d11f97c0a1991d167fdafd885f3719d00a0e2375d2b9c17151f0
https://www.epam.com/insights/ai/blogs/building-a-dark-factory-with-ai-agents,EPAM Figma to production code dark factory AI agents,EPAM Insights empirical report on the dark factory failing on UI/UX with sub-95 percent stability.,3,1b7ee0eb9ccf0b4c2fff2f886cd329ba2482c1ba6507b754250b3322a9c3355f
https://world.hey.com/johnnybutler/dark-factory-no-humans-should-write-code-and-what-it-taught-me-3f1a06f0,HEY World Johnny Butler dark factory no humans should write code,Personal-blog reflection from a developer who tried the pattern and reports wins on internal/glue work and failures on UX.,2,a49e63a68052ebdfc7eb067354adc76b39a9e691cb9a2b0807151e9b46659960
https://www.cow-shed.com/blog/dark-factories-five-levels-ai-automation-transform-audit-banking-legal,Cow-Shed dark factories audit banking legal five levels,Cross-vertical extrapolation of the Five Levels framework into audit banking and legal work.,2,76659217fff4bc91027611df9ae47d0615b4857628d4963b7c46a74147b06032
