url,search_term,one_sentence_summary,relevance,sha256
https://resources.anthropic.com/2026-agentic-coding-trends-report,"Anthropic 2026 Agentic Coding Trends Report autonomous agents","Anthropic's flagship 2026 industry report documenting the shift from writing code to orchestrating agents, with a 0-20% delegation gap and a 7-hour autonomous Claude Code run on the 12.5M-line vLLM codebase.",3,27fe0474c4f1fbe3b427df23280a578aade1e27baf1c536d76d6d79a95bd68b7
https://openai.com/index/harness-engineering/,"OpenAI Codex Harness Engineering essay coding agent","OpenAI's manifesto introducing Agent = Model + Harness, documenting an internal experiment where 3 engineers wrote zero code while Codex produced 1M lines and 1500 PRs over 5 months.",3,293d0f9661696880015b6e8dd1e340859e29967d1cbd47a83a1b08cf9ee742c2
https://cognition.ai/blog/introducing-devin,"Cognition Labs Devin engineering writeup autonomous coding agent","The original Cognition blog post defining the autonomous-software-engineer category and reporting Devin's 13.86% SWE-bench resolve rate at launch.",3,83c74b7550526fa1863372133553e31e721be111c57c160b36c3642ed44e8a78
https://www.langchain.com/blog/agentic-engineering-redefining-software-engineering,"LangChain agentic engineering blog post coding agents 2026","LangChain's framing of agentic engineering as loosely-coupled multi-agent teams that move beyond the bounded user-driven loop, with 57% of surveyed enterprises in production.",3,39405fa55598e452ce416c3a3db710b39e42d25d40873a73efee888ffaaaf5b8
https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents,"Anthropic effective harnesses long-running agents engineering blog","Anthropic engineering post (Justin Young) on the initializer-plus-coding-agent pattern with claude-progress.txt and git artifacts to maintain continuity across context windows for hours-to-days runs.",3,7f7a70a6764975801eea23bab1b78e6c353c5ce311b10461d278849bb098ac5d
https://www.anthropic.com/engineering/claude-code-best-practices,"Anthropic Claude Code best practices autonomous coding","Anthropic's official operational playbook for Claude Code: CLAUDE.md context, agent teams with team leads, fresh-context reviewer agents, and sandboxing reducing permission prompts by 84%.",3,b77235353457c81e3b8d5fccd3aef46f77e1c1329aa75b4cc3ca2026e710e935
https://arxiv.org/abs/2310.06770,"SWE-bench original arxiv paper Princeton GitHub issues","Foundational ICLR 2024 paper introducing SWE-bench's 2294 real-world GitHub-issue resolution tasks across 12 Python repos - the metrological backbone of every autonomous-agent claim.",3,3e4a5dea3aec490fe3b7bc9536c9ac06c9758b4b3d572ac667536f95fbf38fc0
https://arxiv.org/abs/2509.16941,"SWE-Bench Pro long-horizon software engineering arxiv","Contamination-resistant successor benchmark with 1865 long-horizon enterprise tasks where frontier models like GPT-5 and Opus 4.1 drop from ~70% on Verified to ~23% on Pro.",3,2e233c1a5dfa4972f803c286a161b7a8131ad4c649989838b6caf595538e62da
https://arxiv.org/abs/2410.02089,"RLEF Reinforcement Learning Execution Feedback code","Gehring et al. (ICML 2025) on training coding LLMs end-to-end with execution-feedback as reward, achieving SOTA with order-of-magnitude fewer samples and enabling no-human-in-loop convergence.",3,6fba0a1554b9319a26ed947ed54a45e83451fb15dff35b8b660e0b1d0d46ce78
https://arxiv.org/abs/2411.15594,"LLM-as-a-judge survey arxiv evaluation 2025","Most-cited survey of LLM-as-a-judge methods that grounds the academic critique of agentic-evaluation circularity, contamination, and shared blind spots.",3,1d95cc60ba859fe62a21270b0a2d27ba5ccbe5ef30579db02c58d373141d8596
https://arxiv.org/abs/2506.14683,"Unified Software Engineering Agent USEagent arxiv ICSE 2026","USEagent (ICSE 2026) is a single orchestrating agent that handles repair, regression testing, code generation and test generation, scoring 33.3% on USEbench and 45.6% on SWE-bench-verified.",3,bf8ccdfaae7efcb88ae2a77c900593ae1ab82828144480447f8674cd8af52dc8
https://arxiv.org/abs/2604.25850,"Agentic Harness Engineering AHE observability arxiv","AHE formalizes harness engineering with three observability pillars and shows ten autonomous iterations lifting Terminal-Bench 2 pass@1 from 69.7% to 77%, beating the human Codex-CLI harness.",3,56d6e4c61e9846b3e1ca2394f72028b0c64a12332611a1f041c0514dd7796336
https://arxiv.org/abs/2512.18552,"Self-Play SWE-RL superintelligent software agents arxiv","Self-Play SWE-RL trains agents with no human-labeled issues or tests by alternating bug-injector and solver roles in a single LLM, showing self-improvement on SWE-bench Verified and Pro.",3,2ea2194ddb644be11b22a7f59f00e2dd37e05cc058974ec624620cffb3f7dbcf
https://arxiv.org/abs/2410.10934,"Agent-as-a-Judge evaluate agents arxiv code review","Agent-as-a-Judge framework with the DevAI benchmark of 55 development tasks, where judge agents observing intermediate steps match human evaluation reliability and beat output-only LLM judges.",3,8dff3cf0e86595fdc4c1c4f1cda74998d5be3de3dd7e7d3953260ae6d284fd8d
https://metr.org/blog/2026-1-29-time-horizon-1-1/,"METR Time Horizon 1.1 long-task benchmark 2026","METR's January 29 2026 update to its task-completion-time-horizon benchmark, expanded to 228 tasks (31 long); current leader Claude Opus 4.6 at ~14.5 hours, doubling time ~4 months.",3,9fbaa2815062e9320f0323e7ef7cf3b48f249b16ad26189bf345ae1f1b0106f9
https://law.stanford.edu/2026/02/08/built-by-agents-tested-by-agents-trusted-by-whom/,"Stanford CodeX Built by Agents Tested by Agents trusted","Stanford Law CodeX critique (Feb 8 2026) raising the trust and circularity problem in StrongDM-style Dark Factories - agents optimize for tests not users, AI judges share builder blind spots.",3,c6067528590ec9979e14727ff6bfa84cf245f85ca891d04c879adbb3f9a55bf0
https://www.bcgplatinion.com/insights/the-dark-software-factory,"BCG Platinion Dark Software Factory insight piece","BCG Platinion's enterprise framing claiming three-engineer software factories, Spotify engineers writing no code since Dec 2025 (650 AI PRs/month), and BCG's own 50%+ migration productivity gains.",3,3a16af6be167274eddc1e510c219b35f2bfa9776de5139ed8c0f281333e7807c
https://openai.com/index/introducing-swe-bench-verified/,"SWE-bench Verified OpenAI evaluation coding agents","OpenAI's 500-instance human-vetted subset of SWE-bench, the canonical scoreboard for frontier-lab capability claims (GPT-5 reaching ~75% on Verified versus ~23% on Pro).",3,e1f512a932def9e25f4721a0794da611b528666e2ab10c66d56474024d92dea2
